athlete_id,event,is_outdoor,year,age,result,wind,placement,club,date,venue,competition,competition_key,is_approved,rejection_reason
739586,Høyde,False,2022,13,"1,10",,13,Lambertseter IF,2022-02-13,Bærum Idrettspark,"Bærum, Tyrvinglekene Inne 2022","2022-02-13|Bærum Idrettspark|Bærum, Tyrvinglekene Inne 2022",True,
739586,Lengde,False,2022,13,"3,33",,16,Lambertseter IF,2022-11-26,Bærum Idrettspark,"Bærum, Julestemne","2022-11-26|Bærum Idrettspark|Bærum, Julestemne",True,
739586,"Lengde (Sone 0,5m)",False,2022,13,"3,68",,26,Lambertseter IF,2022-03-13,Stangehallen,"Stange, Gjensidige Bamselekene","2022-03-13|Stangehallen|Stange, Gjensidige Bamselekene",True,
739586,"Lengde (Sone 0,5m)",False,2022,13,"3,57",,11,Lambertseter IF,2022-01-23,Nes Arena,"Hvam, Norgeslekene","2022-01-23|Nes Arena|Hvam, Norgeslekene",True,
739586,"Lengde (Sone 0,5m)",False,2022,13,"3,55",,20,Lambertseter IF,2022-02-12,Bærum Idrettspark,"Bærum, Tyrvinglekene Inne 2022","2022-02-12|Bærum Idrettspark|Bærum, Tyrvinglekene Inne 2022",True,
739586,"Tresteg (Sone 0,5m)",False,2022,13,"7,91",,11,Lambertseter IF,2022-02-13,Bærum Idrettspark,"Bærum, Tyrvinglekene Inne 2022","2022-02-13|Bærum Idrettspark|Bærum, Tyrvinglekene Inne 2022",True,
739586,"Kule 2,0kg",False,2022,13,"8,16",,8,Lambertseter IF,2022-02-13,Bærum Idrettspark,"Bærum, Tyrvinglekene Inne 2022","2022-02-13|Bærum Idrettspark|Bærum, Tyrvinglekene Inne 2022",True,
739586,"Kule 2,0kg",False,2022,13,"8,13",,7,Lambertseter IF,2022-11-26,Bærum Idrettspark,"Bærum, Julestemne","2022-11-26|Bærum Idrettspark|Bærum, Julestemne",True,
739586,"Kule 2,0kg",False,2022,13,"7,79",,5,Lambertseter IF,2022-03-12,Stangehallen,"Stange, Gjensidige Bamselekene","2022-03-12|Stangehallen|Stange, Gjensidige Bamselekene",True,
739586,"Kule 3,0kg",False,2023,14,"7,69",,6,Lambertseter IF,2023-11-25,Bærum Idrettspark,"Bærum, Julestemne 2023","2023-11-25|Bærum Idrettspark|Bærum, Julestemne 2023",True,
739586,"Kule 3,0kg",False,2023,14,"7,28",,6,Lambertseter IF,2023-02-12,Bærum Idrettspark,"Bærum, Tyrvinglekene Inne 2023","2023-02-12|Bærum Idrettspark|Bærum, Tyrvinglekene Inne 2023",True,
739586,"Kule 3,0kg",False,2023,14,"6,99",,11,Lambertseter IF,2023-03-11,Stangehallen,"Stange, Bamselekene","2023-03-11|Stangehallen|Stange, Bamselekene",True,
10028868,Høyde uten tilløp,False,2025,11,"0,90",,2,Bækkelagets SK,2025-02-24,Bekkelaget Skole,"Oslo/Bk, Klubbmesterskap i hopp uten tilløp","2025-02-24|Bekkelaget Skole|Oslo/Bk, Klubbmesterskap i hopp uten tilløp",True,
