athlete_id,event,is_outdoor,year,age,result,wind,placement,club,date,venue,competition,competition_key,is_approved,rejection_reason
43477,60 meter,False,2019,13,"8,77",,2,Ogndal IL,2019-12-07,Steinkjerhallen,"Steinkjer, Adventstevnet 2019","2019-12-07|Steinkjerhallen|Steinkjer, Adventstevnet 2019",True,
43477,60 meter,False,2019,13,"8,87",,3-h1,Ogndal IL,2019-12-01,Ranheim Friidrettshall,"Ranheim, Adventstevnet","2019-12-01|Ranheim Friidrettshall|Ranheim, Adventstevnet",True,
43477,60 meter,False,2019,13,"9,20",,2-h1,Ogndal IL,2019-01-19,Steinkjerhallen,"Steinkjer, Steinkjer Indoor 2019","2019-01-19|Steinkjerhallen|Steinkjer, Steinkjer Indoor 2019",True,
43477,60 meter,False,2018,12,"9,30",,2,Ogndal IL,2018-12-02,Ranheim Friidrettshall,"Ranheim, Adventstevnet","2018-12-02|Ranheim Friidrettshall|Ranheim, Adventstevnet",True,
43477,60 meter,False,2018,12,"9,61",,1-h1,Ogndal IL,2018-01-21,Ranheim Friidrettshall,"Ranheim, Nyttårsstevnet 2018","2018-01-21|Ranheim Friidrettshall|Ranheim, Nyttårsstevnet 2018",True,
43477,200 meter,False,2019,13,"30,84",,2,Ogndal IL,2019-12-07,Steinkjerhallen,"Steinkjer, Adventstevnet 2019","2019-12-07|Steinkjerhallen|Steinkjer, Adventstevnet 2019",True,
43477,200 meter,False,2019,13,"31,52",,3-h1,Ogndal IL,2019-12-01,Ranheim Friidrettshall,"Ranheim, Adventstevnet","2019-12-01|Ranheim Friidrettshall|Ranheim, Adventstevnet",True,
43477,200 meter,False,2019,13,"36,19",,5-h2,Ogndal IL,2019-01-19,Steinkjerhallen,"Steinkjer, Steinkjer Indoor 2019","2019-01-19|Steinkjerhallen|Steinkjer, Steinkjer Indoor 2019",True,
43477,Lengde,False,2022,16,"4,20",,2,Ogndal IL,2022-01-23,Steinkjerhallen,"Steinkjer, Steinkjer Indoor","2022-01-23|Steinkjerhallen|Steinkjer, Steinkjer Indoor",True,
43477,Lengde,False,2022,16,"4,00",,9,Ogndal IL,2022-03-05,Steinkjerhallen,"Steinkjer, EXTRA UM innendørs 2022","2022-03-05|Steinkjerhallen|Steinkjer, EXTRA UM innendørs 2022",True,
43477,Lengde,False,2020,14,"4,25",,1,Ogndal IL,2020-12-06,Steinkjerhallen,"Steinkjer, Adventstevne 2020","2020-12-06|Steinkjerhallen|Steinkjer, Adventstevne 2020",True,
43477,Lengde,False,2020,14,"4,13",,3,Ogndal IL,2020-01-18,Steinkjerhallen,"Steinkjer, Steinkjer Indoor 2020","2020-01-18|Steinkjerhallen|Steinkjer, Steinkjer Indoor 2020",True,
43477,Lengde,False,2020,14,"4,02",,1,Ogndal IL,2020-01-12,Ranheim Friidrettshall,"Ranheim, Nyttårsstevne","2020-01-12|Ranheim Friidrettshall|Ranheim, Nyttårsstevne",True,
43477,"Lengde (Sone 0,5m)",False,2019,13,"4,37",,2,Ogndal IL,2019-12-07,Steinkjerhallen,"Steinkjer, Adventstevnet 2019","2019-12-07|Steinkjerhallen|Steinkjer, Adventstevnet 2019",True,
43477,"Lengde (Sone 0,5m)",False,2019,13,"4,13",,1,Ogndal IL,2019-12-01,Ranheim Friidrettshall,"Ranheim, Adventstevnet","2019-12-01|Ranheim Friidrettshall|Ranheim, Adventstevnet",True,
43477,"Lengde (Sone 0,5m)",False,2019,13,"3,83",,3,Ogndal IL,2019-01-19,Steinkjerhallen,"Steinkjer, Steinkjer Indoor 2019","2019-01-19|Steinkjerhallen|Steinkjer, Steinkjer Indoor 2019",True,
43477,"Lengde (Sone 0,5m)",False,2018,12,"3,98",,1,Ogndal IL,2018-12-02,Ranheim Friidrettshall,"Ranheim, Adventstevnet","2018-12-02|Ranheim Friidrettshall|Ranheim, Adventstevnet",True,
43477,"Lengde (Sone 0,5m)",False,2018,12,"3,48",,1,Ogndal IL,2018-01-21,Ranheim Friidrettshall,"Ranheim, Nyttårsstevnet 2018","2018-01-21|Ranheim Friidrettshall|Ranheim, Nyttårsstevnet 2018",True,
43477,"Kule 2,0kg",False,2019,13,"9,11",,3,Ogndal IL,2019-12-07,Steinkjerhallen,"Steinkjer, Adventstevnet 2019","2019-12-07|Steinkjerhallen|Steinkjer, Adventstevnet 2019",True,
43477,"Kule 2,0kg",False,2019,13,"8,94",,1,Ogndal IL,2019-12-01,Ranheim Friidrettshall,"Ranheim, Adventstevnet","2019-12-01|Ranheim Friidrettshall|Ranheim, Adventstevnet",True,
43477,"Kule 2,0kg",False,2019,13,"7,75",,3,Ogndal IL,2019-01-19,Steinkjerhallen,"Steinkjer, Steinkjer Indoor 2019","2019-01-19|Steinkjerhallen|Steinkjer, Steinkjer Indoor 2019",True,
43477,"Kule 2,0kg",False,2018,12,"6,86",,2,Ogndal IL,2018-12-02,Ranheim Friidrettshall,"Ranheim, Adventstevnet","2018-12-02|Ranheim Friidrettshall|Ranheim, Adventstevnet",True,
43477,"Kule 3,0kg",False,2022,16,"7,78",,8,Ogndal IL,2022-03-05,Steinkjerhallen,"Steinkjer, EXTRA UM innendørs 2022","2022-03-05|Steinkjerhallen|Steinkjer, EXTRA UM innendørs 2022",True,
43477,"Kule 3,0kg",False,2022,16,"7,16",,2,Ogndal IL,2022-01-22,Steinkjerhallen,"Steinkjer, Steinkjer Indoor","2022-01-22|Steinkjerhallen|Steinkjer, Steinkjer Indoor",True,
43477,"Kule 3,0kg",False,2020,14,"8,63",,2,Ogndal IL,2020-01-18,Steinkjerhallen,"Steinkjer, Steinkjer Indoor 2020","2020-01-18|Steinkjerhallen|Steinkjer, Steinkjer Indoor 2020",True,
43477,"Kule 3,0kg",False,2020,14,"6,74",,1,Ogndal IL,2020-12-06,Steinkjerhallen,"Steinkjer, Adventstevne 2020","2020-12-06|Steinkjerhallen|Steinkjer, Adventstevne 2020",True,
43477,"Kule 3,0kg",False,2020,14,"6,67",,1,Ogndal IL,2020-01-12,Ranheim Friidrettshall,"Ranheim, Nyttårsstevne","2020-01-12|Ranheim Friidrettshall|Ranheim, Nyttårsstevne",True,
35067,3000 meter,False,2016,11,"14,47,3",,10,ukjent,2016-02-08,Ranheim Friidrettshall,"Ranheim, Trøndersk Vinterkarusell løp 5","2016-02-08|Ranheim Friidrettshall|Ranheim, Trøndersk Vinterkarusell løp 5",False,Ikke medlem av NFIF
